"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 15:50:29 MSK 2025","Sat Jul 19 15:50:34 MSK 2025","5006","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password SQL OR 1=1",""
"passed","Sat Jul 19 15:51:40 MSK 2025","Sat Jul 19 15:51:42 MSK 2025","1834","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","updateProfile_shouldSucceed","Профиль успешно обновляется",""
"passed","Sat Jul 19 15:44:11 MSK 2025","Sat Jul 19 15:44:18 MSK 2025","6382","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Пароль 40 символов",""
"failed","Sat Jul 19 15:45:09 MSK 2025","Sat Jul 19 15:45:09 MSK 2025","273","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithInvalidCategory","Создание заметки с неизвестной категорией",""
"passed","Sat Jul 19 15:41:35 MSK 2025","Sat Jul 19 15:41:48 MSK 2025","13500","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","checkLogout","Успешный логаут после входа",""
"passed","Sat Jul 19 15:50:55 MSK 2025","Sat Jul 19 15:51:00 MSK 2025","4934","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password Пробелы",""
"passed","Sat Jul 19 15:46:38 MSK 2025","Sat Jul 19 15:46:44 MSK 2025","6174","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Username с пробелом",""
"passed","Sat Jul 19 15:43:22 MSK 2025","Sat Jul 19 15:43:29 MSK 2025","6688","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Username > 39 символов",""
"passed","Sat Jul 19 15:44:50 MSK 2025","Sat Jul 19 15:44:56 MSK 2025","6325","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Email вместо Username",""
"passed","Sat Jul 19 15:51:39 MSK 2025","Sat Jul 19 15:51:40 MSK 2025","1307","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","getProfile_shouldReturnCorrectData","Профиль возвращается корректно для авторизованного пользователя",""
"passed","Sat Jul 19 15:51:52 MSK 2025","Sat Jul 19 15:51:53 MSK 2025","1290","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","loginWithUnregisteredEmail","Логин с незарегистрированным email",""
"passed","Sat Jul 19 15:48:13 MSK 2025","Sat Jul 19 15:48:19 MSK 2025","6178","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина Пустые поля",""
"passed","Sat Jul 19 15:51:59 MSK 2025","Sat Jul 19 15:52:00 MSK 2025","1333","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithShortPassword","Регистрация с коротким паролем",""
"failed","Sat Jul 19 15:51:30 MSK 2025","Sat Jul 19 15:51:31 MSK 2025","565","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithEmptyTitle","Создание заметки с пустым title",""
"passed","Sat Jul 19 15:42:35 MSK 2025","Sat Jul 19 15:42:47 MSK 2025","11181","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","shouldRejectDuplicateUsername","Регистрация с уже существующим username",""
"passed","Sat Jul 19 15:45:30 MSK 2025","Sat Jul 19 15:45:31 MSK 2025","1217","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithEmptyBody","Регистрация без тела запроса",""
"failed","Sat Jul 19 15:51:36 MSK 2025","Sat Jul 19 15:51:36 MSK 2025","577","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","updateNoteWithEmptyBody","Обновление заметки без тела запроса",""
"failed","Sat Jul 19 15:45:10 MSK 2025","Sat Jul 19 15:45:10 MSK 2025","273","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","deleteNote","Удаление заметки по Id",""
"passed","Sat Jul 19 15:46:16 MSK 2025","Sat Jul 19 15:46:22 MSK 2025","6238","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации Пароли не совпадают",""
"passed","Sat Jul 19 15:45:11 MSK 2025","Sat Jul 19 15:45:13 MSK 2025","2623","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","checkApiServerHealth","Проверка работоспособности сервера API",""
"passed","Sat Jul 19 15:41:22 MSK 2025","Sat Jul 19 15:41:28 MSK 2025","6519","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","negativeLogin","Негативные кейсы логина Пароль с пробелом",""
"failed","Sat Jul 19 15:51:29 MSK 2025","Sat Jul 19 15:51:29 MSK 2025","632","","apiTests.NotesApiTests.NotesApiTests","","apiTests.NotesApiTests.NotesApiTests","createNoteWithoutToken","Создание заметки без токена",""
"passed","Sat Jul 19 15:39:53 MSK 2025","Sat Jul 19 15:39:58 MSK 2025","5470","","UiTests.tests.auth.ForgotPasswordTests","","UiTests.tests.auth.ForgotPasswordTests","negativeForgotPassword","Негативные кейсы Forgot Password 255 символов",""
"passed","Sat Jul 19 15:48:02 MSK 2025","Sat Jul 19 15:48:13 MSK 2025","10425","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","loginWithRegularUsername","Успешный логин с обычным username",""
"passed","Sat Jul 19 15:46:56 MSK 2025","Sat Jul 19 15:47:03 MSK 2025","6256","","UiTests.tests.auth.RegisterTests","","UiTests.tests.auth.RegisterTests","negativeRegistration","Проверка ошибок при регистрации SQL-инъекция в username",""
"passed","Sat Jul 19 15:45:18 MSK 2025","Sat Jul 19 15:45:19 MSK 2025","1349","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","resetPasswordViaValidEmail","Сбрасываем пароль",""
"passed","Sat Jul 19 15:49:39 MSK 2025","Sat Jul 19 15:49:50 MSK 2025","10439","","UiTests.tests.auth.LoginTests","","UiTests.tests.auth.LoginTests","loginWithThreeCharUsername","Успешный логин с username из 3 символов",""
"passed","Sat Jul 19 15:45:34 MSK 2025","Sat Jul 19 15:45:35 MSK 2025","1298","","apiTests.UserAccountApiTests.UserAccountApiTests","","apiTests.UserAccountApiTests.UserAccountApiTests","registerWithDuplicateEmail","Регистрация с уже существующим email",""
